タイプ,最も相性がいいタイプ,相性がいいタイプ1,相性がいいタイプ2,相性がいいタイプ3,相性がいいタイプ4
ENTP（討論者型）,ISFP,ESFJ,ESTP,INTJ,ENTP
ENTJ（指揮官型）,ISFJ,ESFP,ENFJ,ESTJ,ENTJ
ENFP（広報運動家型）,ISTP,ESTJ,ENTP,INFJ,ENFP
ENFJ（主人公型）,ISTJ,ESTP,ENTJ,ENFP,ENFJ
ESTP（起業家型）,INFP,ENFJ,ENTP,ESFP,ESTP
ESTJ（幹部型）,INFJ,ENFP,ENTJ,ESFJ,ESTJ
ESFP（エンターテイナー型）,INTP,ENTJ,ESTP,ISFP,ESFP
ESFJ（領事官型）,INTJ,ENTP,ESTJ,ISFJ,ESFJ
INTP（論理学者型）,ESFP,ISFJ,INTJ,INFP,INTP
INTJ（建築家型）,ESFJ,ISFP,INTP,INFJ,INTJ
INFP（仲介者型）,ESTP,ISTJ,ISFP,INTP,INFP
INFJ（提唱者型）,ESTJ,ISTP,INTJ,INFP,INFJ
ISTP（巨匠型）,ENFP,INFJ,ISTJ,ISFP,ISTP
ISTJ（管理者型）,ENFJ,INFP,ISTP,ISFJ,ISTJ
ISFP（冒険家型）,ENTP,INTJ,ISTP,ESFP,ISFP
ISFJ（擁護者型）,ENTJ,INTP,ISTJ,ESFJ,ISFJ
